run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,173320.04613950805,113.13292603052236,0.6991785172762984,5000,100,X-n819-k171,1575.0413992404938
1,173026.87967960042,354.5396243562982,0.6811657296981762,5000,100,X-n819-k171,1718.0962536334991
2,173175.21921248047,348.2171446028872,0.7053080725050579,5000,100,X-n819-k171,1668.3913147449493
3,172456.52463663014,301.87118012962964,0.6822913536765594,5000,100,X-n819-k171,1617.7533621788025
4,173574.34190379022,196.8206504084469,0.708421349724432,5000,100,X-n819-k171,1606.3084676265717
5,173985.9496858947,63.69627400524417,0.6998298290695842,5000,100,X-n819-k171,1708.828637123108
6,173313.0233709422,29.48853274227497,0.6972297700458675,5000,100,X-n819-k171,1693.4663894176483
7,173525.09622511,280.1320328956494,0.687370612541883,5000,100,X-n819-k171,1670.5860669612885
8,173194.21806707536,261.159181410643,0.6990194901339392,5000,100,X-n819-k171,1542.0660645961761
9,173413.8027649865,65.89762585457656,0.6860590321163663,5000,100,X-n819-k171,1619.919683933258
10,173182.34984156463,68.43976974481237,0.6925628402218923,5000,100,X-n819-k171,1554.4385201931
11,173462.6370671276,149.7890522843854,0.680153985790506,5000,100,X-n819-k171,1542.3833949565887
12,173690.3995664293,319.4654826608323,0.7145352150035551,5000,100,X-n819-k171,1647.1034870147705
13,173136.97076595944,135.59955300004205,0.7263801522241785,5000,100,X-n819-k171,1591.9223232269287
14,173311.19024402832,14.787468307665254,0.6844954371811774,5000,100,X-n819-k171,1633.0416777133942
15,173990.65475953903,262.45388334918124,0.7084567807654706,5000,100,X-n819-k171,1577.266511440277
16,173003.84284489878,282.1679203497061,0.6666155969201335,5000,100,X-n819-k171,1651.539952993393
17,172966.20564795763,601.5966063853751,0.6507525890625464,5000,100,X-n819-k171,1535.8848469257355
18,173464.73208187384,122.78202083714574,0.6856353010683239,5000,100,X-n819-k171,1548.2980251312256
19,173098.52405864644,53.01453449858832,0.6752093795492531,5000,100,X-n819-k171,1561.833713054657
20,172774.68957268703,180.51494422232045,0.672264282172368,5000,100,X-n819-k171,1675.2191123962402
21,172740.79570740627,88.24590680707962,0.6946849567449306,5000,100,X-n819-k171,1634.4978988170624
22,173626.4410253727,171.4441195319461,0.6995421273097051,5000,100,X-n819-k171,1695.7402625083923
23,173289.40261065427,187.4092123186279,0.6906623196606647,5000,100,X-n819-k171,1646.1619930267334
24,173383.22038638766,136.74318268290128,0.6747008579201159,5000,100,X-n819-k171,1623.419427871704
25,173611.42210085335,66.74175140634367,0.6916398415109635,5000,100,X-n819-k171,1623.0545978546143
26,172497.41441126182,114.46262822301549,0.6664656617003898,5000,100,X-n819-k171,1623.1068904399872
27,173124.18506394827,319.04300289493807,0.7026793882662473,5000,100,X-n819-k171,1587.687026500702
28,173154.623789386,277.6657445241732,0.6973587929168232,5000,100,X-n819-k171,1668.4434764385223
29,173627.17223742485,343.42467099758034,0.7241674858005475,5000,100,X-n819-k171,1610.2117946147919
30,173370.91937233016,47.393402756604715,0.6844891324658251,5000,100,X-n819-k171,1509.074301958084
31,173200.2034236207,50.65504564379039,0.6890800824244141,5000,100,X-n819-k171,1617.043927192688
32,173477.82102459265,288.0663035174462,0.6853544996810869,5000,100,X-n819-k171,1568.7073330879211
33,173905.72267048698,254.88180122356135,0.6992882433236719,5000,100,X-n819-k171,1563.909547328949
34,173435.17415724267,177.99699971370532,0.6902464649059684,5000,100,X-n819-k171,708.8772683143616
