run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,46486.968408712135,1402.7476878202244,0.7444771723122239,2625,75,X-n393-k38,227.21171760559082
1,46628.19931811033,1999.1309370437955,0.7576111134536392,2625,75,X-n393-k38,207.20536518096924
2,46823.52544236309,2204.4478972318093,0.7367393966833768,2625,75,X-n393-k38,207.0973834991455
3,46835.3926585734,2280.1763974102782,0.733822994217166,2625,75,X-n393-k38,177.91741943359375
4,47114.75974830554,1843.269002616869,0.7494432985782161,2625,75,X-n393-k38,207.80998492240906
5,46778.80242324953,2181.9429534005635,0.7495429314250432,2625,75,X-n393-k38,227.97146320343018
6,46871.95782016532,1489.270330167637,0.744698264946201,2625,75,X-n393-k38,203.41540789604187
7,47386.022099672315,1827.1681146512249,0.7268049428787696,2625,75,X-n393-k38,206.9379096031189
8,46801.79559779362,2085.7338824487256,0.7488565344575951,2625,75,X-n393-k38,207.43733477592468
9,46484.31034024686,1762.600157270753,0.749968444585399,2625,75,X-n393-k38,159.1147336959839
10,47178.17112189892,1898.6413388903297,0.7547682451187825,2625,75,X-n393-k38,201.06274914741516
11,46832.053608032234,2330.818664581251,0.7639975746379184,2625,75,X-n393-k38,184.80168437957764
12,47398.828547018195,1893.188550750631,0.7704520303056098,2625,75,X-n393-k38,169.25464510917664
13,46620.6149204646,2460.936484799672,0.7623202966171534,2625,75,X-n393-k38,220.66516709327698
14,46546.84195466607,2201.9359829690743,0.7554365399658972,2625,75,X-n393-k38,205.10241532325745
15,46750.93908492018,1716.9375920170867,0.7665347152219391,2625,75,X-n393-k38,209.9972927570343
16,46369.30210777124,1068.862879056247,0.7469915925254096,2625,75,X-n393-k38,225.24523067474365
17,46699.823944397715,2256.1140737137416,0.7384070985122335,2625,75,X-n393-k38,199.82261061668396
18,47002.90905786483,1645.7044605891854,0.7362550698238857,2625,75,X-n393-k38,213.74558234214783
19,46911.53853638218,2117.690478326071,0.7496810983444232,2625,75,X-n393-k38,218.07165050506592
20,46665.41612148744,1989.788414391165,0.770075060432679,2625,75,X-n393-k38,213.6110942363739
21,46815.67302358273,2619.880347213716,0.7353758945939198,2625,75,X-n393-k38,199.50097966194153
22,46911.08424027227,1541.8497497805488,0.7812544277749508,2625,75,X-n393-k38,205.718327999115
23,46827.25745111987,2347.501889462522,0.7355023897409668,2625,75,X-n393-k38,203.7089216709137
24,46724.50539352311,1456.0838550604076,0.7158000759910879,2625,75,X-n393-k38,192.57126331329346
25,47043.89289667855,2042.477956908677,0.7831817816820673,2625,75,X-n393-k38,185.01964473724365
26,46737.28926162051,1687.6664373420865,0.7274217311589184,2625,75,X-n393-k38,203.20955395698547
27,47117.24707401367,1501.0169722644703,0.7254650145154949,2625,75,X-n393-k38,196.1141393184662
28,46314.84094969235,1625.0820163439653,0.7564040590000031,2625,75,X-n393-k38,176.29792833328247
29,46907.33587505991,1929.817716571957,0.7614691241283061,2625,75,X-n393-k38,201.20512557029724
30,47145.13688082844,1766.2643865231976,0.7666965225290134,2625,75,X-n393-k38,183.34981536865234
31,46942.56128089116,1751.7388411174636,0.7391622460440731,2625,75,X-n393-k38,175.1887562274933
32,46891.20862546048,1073.4990032536782,0.7289154190662925,2625,75,X-n393-k38,181.16539549827576
33,46924.49465070283,1632.1152121639798,0.7557819577352024,2625,75,X-n393-k38,190.07558846473694
34,47068.546848077116,2497.0139246984218,0.7589409178997188,2625,75,X-n393-k38,103.13948798179626
