run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,31273.4715996567,403.30533292699624,0.6156183429252896,36000,702,X-n106-k14,9.938555479049683
1,30985.441463558953,303.4223518497733,0.6492566110543639,28850,559,X-n106-k14,9.295998096466064
2,31282.317710812626,216.16819705498435,0.6185741062753585,32900,640,X-n106-k14,9.490728855133057
3,31030.475274673194,444.9986651897977,0.6057312252964426,40150,785,X-n106-k14,13.66556429862976
4,31514.694323384727,43.793302043827474,0.6774212325226726,27300,528,X-n106-k14,8.305967569351196
5,31348.629718362456,166.70495076379004,0.6198450225573549,33300,648,X-n106-k14,9.661805152893066
6,31181.596626850893,281.41181798118663,0.6319714690767322,29650,575,X-n106-k14,8.679481267929077
7,31200.33190203096,379.31880388776574,0.6774212325226726,32250,627,X-n106-k14,10.010068655014038
8,31160.661179667997,329.9200447695459,0.6419194310303106,33500,652,X-n106-k14,9.894530534744263
9,31050.14745680019,272.0318840454616,0.5968475056294542,28250,547,X-n106-k14,8.554611444473267
10,31092.61895985743,210.59393771952745,0.58835318585744,36100,704,X-n106-k14,10.375005006790161
11,31071.831069517128,113.15957067342347,0.6498168963400436,34050,663,X-n106-k14,9.912174940109253
12,31218.547771744783,71.346560048829,0.5885236012248535,27450,531,X-n106-k14,8.329185009002686
13,30889.07771507092,444.27490124806127,0.6416203285825189,38700,756,X-n106-k14,13.82040524482727
14,31345.253498565944,398.51817485664833,0.6750392793210472,27250,527,X-n106-k14,8.61709475517273
15,31190.979232577578,269.93866701619845,0.6721272554605887,35650,695,X-n106-k14,9.73654556274414
16,31166.158295040437,91.71003210325648,0.625599616419846,29700,576,X-n106-k14,8.411344766616821
17,30991.871681864726,291.86042337218356,0.6291291841949909,29850,579,X-n106-k14,11.162255764007568
18,31167.98079266356,238.24042766114093,0.6893683438243308,42250,827,X-n106-k14,13.090682744979858
19,30877.90386657411,132.81029211427003,0.6306400318028225,33650,655,X-n106-k14,12.626344919204712
20,31798.051613188454,395.553425139951,0.6850561143378823,32050,623,X-n106-k14,12.225048780441284
21,31391.676852051154,325.3674514429399,0.6344307969545026,24450,471,X-n106-k14,10.404589414596558
22,31139.14007275198,433.00119756291724,0.6774475524475525,28150,545,X-n106-k14,9.281389713287354
23,31423.685923071753,278.67883091394515,0.6727984275650991,36450,711,X-n106-k14,13.805807113647461
24,31224.477176238408,373.8805602986412,0.6215494997320999,35800,698,X-n106-k14,12.034780502319336
25,31211.82095692873,95.53543280651088,0.6745082039641908,42950,841,X-n106-k14,12.738274812698364
26,31626.665348510116,545.007631414989,0.6445152835805319,30300,588,X-n106-k14,10.926813125610352
27,31260.542440717236,337.3550303772778,0.7134387351778656,37950,741,X-n106-k14,12.077391386032104
28,31293.28774109254,121.17832510657128,0.655982905982906,35650,695,X-n106-k14,11.73047423362732
29,30867.2332925849,313.42420004373594,0.6502448210922787,31700,616,X-n106-k14,10.87428617477417
30,31429.672010049686,307.6487576520775,0.6421018228942369,32750,637,X-n106-k14,11.47081971168518
31,31542.223308976787,43.00912354613742,0.6320940620073568,35750,697,X-n106-k14,12.084560871124268
32,31249.52004614299,77.73735068028182,0.6104372213648578,31350,609,X-n106-k14,9.908565282821655
33,31520.163401911374,492.9226844455252,0.6200502423580828,29150,565,X-n106-k14,8.747089862823486
34,31274.155995031568,430.265989798412,0.6722664308871206,40550,793,X-n106-k14,8.140925645828247
