run,fitness,n_evaluations,experiment_id,tiempo
0,33707.02477219483,10000,X-n106-k14,5.326435804367065
1,35138.7602379035,10000,X-n106-k14,5.014930486679077
2,34821.69980881902,10000,X-n106-k14,4.968365907669067
3,34549.03201916793,10000,X-n106-k14,4.880926847457886
4,34537.93408397102,10000,X-n106-k14,5.150705337524414
5,35059.84749677317,10000,X-n106-k14,5.026068210601807
6,33566.90162904383,10000,X-n106-k14,5.085576295852661
7,34134.86285760725,10000,X-n106-k14,5.100884675979614
8,32626.433757589028,10000,X-n106-k14,5.088145732879639
9,34150.05203809213,10000,X-n106-k14,4.846235752105713
10,34331.492327451524,10000,X-n106-k14,4.697513580322266
11,33978.632595999705,10000,X-n106-k14,5.063226938247681
12,35006.713224717576,10000,X-n106-k14,4.967314958572388
13,33893.115737432534,10000,X-n106-k14,4.893508672714233
14,34168.46478323641,10000,X-n106-k14,4.790246486663818
15,35009.343344346315,10000,X-n106-k14,4.897181272506714
16,34365.63439445161,10000,X-n106-k14,4.848773002624512
17,34897.68545149821,10000,X-n106-k14,4.749314069747925
18,34521.22161677468,10000,X-n106-k14,4.498318195343018
19,35363.183245256274,10000,X-n106-k14,4.6407928466796875
20,34135.92147130315,10000,X-n106-k14,4.569470405578613
21,33697.4820141372,10000,X-n106-k14,4.695037126541138
22,34351.257250749615,10000,X-n106-k14,4.537883520126343
23,35011.43185889275,10000,X-n106-k14,4.849648714065552
24,34584.20637339563,10000,X-n106-k14,4.8076231479644775
25,34119.84719312454,10000,X-n106-k14,4.704344749450684
26,33654.23894004983,10000,X-n106-k14,4.713666677474976
27,35442.68812712998,10000,X-n106-k14,5.070939779281616
28,33351.28410088297,10000,X-n106-k14,4.676208257675171
29,35437.51084640548,10000,X-n106-k14,4.686128616333008
