run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,40989.91916659785,701.5264694236887,0.9081362024405579,3750,74,X-n153-k22,7.5913004875183105
1,40865.12024575466,1423.3168903321587,0.9236925194368023,4250,84,X-n153-k22,8.67314338684082
2,41047.33639935328,467.3943938353621,0.9081312293858227,8150,162,X-n153-k22,18.599384546279907
3,37989.86472685572,777.7823939477715,0.617582057617435,6600,131,X-n153-k22,8.46465015411377
4,39515.88059784601,465.2751871110465,0.815232302447094,4550,90,X-n153-k22,8.708501815795898
5,39938.40853577917,785.5564892044328,0.9192332515400148,3700,73,X-n153-k22,8.370768308639526
6,41589.29265919804,645.6211741199336,0.908608682983683,3450,68,X-n153-k22,6.71593165397644
7,39557.72609248345,483.42222814455954,0.9223957835642618,8050,160,X-n153-k22,17.091922760009766
8,40197.681077030276,659.8447779872179,0.9122180225012189,4200,83,X-n153-k22,6.054438591003418
9,40275.144686256244,890.9881313085051,0.8995807127882599,3800,75,X-n153-k22,4.980280160903931
10,40112.248012527736,873.3696886259739,0.915103677719368,4250,84,X-n153-k22,8.781444311141968
11,39773.209349611505,604.6721875444609,0.9087580270657017,5700,113,X-n153-k22,12.246358394622803
12,41010.08141903728,1487.4273111041343,0.9017783429161138,5550,110,X-n153-k22,11.829730749130249
13,39239.770490200644,773.6775349241884,0.6458724353888922,7700,153,X-n153-k22,16.282888412475586
14,42966.89645896154,1902.9322359417356,0.9084185169457252,600,11,X-n153-k22,1.490199327468872
15,39535.760953950106,1306.2750127394706,0.7338702671938654,5700,113,X-n153-k22,11.952394485473633
16,39616.708209604425,840.6749464671944,0.9119142000135027,5650,112,X-n153-k22,14.34458303451538
17,43165.68898231935,1493.0523053936336,0.9082048738298738,600,11,X-n153-k22,1.5424141883850098
18,40229.517481371004,867.842981943802,0.9209955867082035,6400,127,X-n153-k22,15.809348344802856
19,39466.7507870123,1216.8599155040247,0.9161948648855254,4750,94,X-n153-k22,6.504422426223755
20,38258.440398463055,201.9290458275302,0.5913978494623656,7300,145,X-n153-k22,15.279330968856812
21,38403.66731701815,597.7615192234574,0.6109391124871001,8050,160,X-n153-k22,15.809467077255249
22,40142.18018069377,665.3170791992623,0.9151057791537668,5750,114,X-n153-k22,12.614058494567871
23,39397.02534883062,1094.2534121208641,0.6689791286543362,10000,199,X-n153-k22,13.947019815444946
24,40582.00498189399,513.7628161072771,0.9207964406854323,4350,86,X-n153-k22,10.57625126838684
25,38153.84165734828,2150.973399431274,0.6401879917633025,10000,199,X-n153-k22,16.624892711639404
26,42103.36702110555,1165.4377085827264,0.9216601676988557,5650,112,X-n153-k22,6.990489482879639
27,38123.51664725053,8.411574544186841,0.030476190476190473,10000,199,X-n153-k22,17.10638976097107
28,38952.866369928524,858.5198600979104,0.9022082018927445,6950,138,X-n153-k22,9.110987424850464
29,36756.51667036253,371.81775651941007,0.7966181743934969,10000,199,X-n153-k22,15.272606611251831
30,40115.39335965267,1109.1724000042018,0.8989167795816241,7000,139,X-n153-k22,11.891144037246704
31,39775.53016763699,1617.9440434970347,0.9101824323004265,5450,108,X-n153-k22,9.99224042892456
32,39554.5450413545,600.5307732180178,0.8992100963696217,4600,91,X-n153-k22,9.699749946594238
33,40517.87950436528,1015.8818360506355,0.7061825595017881,7100,141,X-n153-k22,8.474466323852539
34,40904.64075473498,1062.6293407310732,0.8521543514815685,4650,92,X-n153-k22,7.768049240112305
