run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,34705.25519533337,440.15258738180097,0.9165352151653522,8150,162,X-n106-k14,12.228473901748657
1,35199.509258313796,118.5195585329337,0.8485084134590157,7650,152,X-n106-k14,11.460068941116333
2,35293.469434889725,620.6425469354052,0.8945412518374704,4300,85,X-n106-k14,6.491999864578247
3,35281.02223081556,469.805852817168,0.9229746091047462,6200,123,X-n106-k14,10.232854843139648
4,34876.17473128342,572.8382415672392,0.8796896313607032,4800,95,X-n106-k14,7.420796155929565
5,34394.23854166555,232.07850914426547,0.838047138047138,10000,199,X-n106-k14,14.64840292930603
6,36410.3736314818,1083.9897123617586,0.8376711873421088,2800,55,X-n106-k14,4.31606650352478
7,35873.84320035866,782.6533528331371,0.9230622230622231,4100,81,X-n106-k14,6.410847425460815
8,37143.08112168266,985.6991776841821,0.9065798559731676,600,11,X-n106-k14,1.192580223083496
9,34949.28989820027,785.601858949137,0.9015332536837913,7800,155,X-n106-k14,12.709659814834595
10,36233.94315183294,192.98027111924281,0.9229446012702893,3550,70,X-n106-k14,5.639309883117676
11,35488.46139022022,524.4753346663624,0.9181669167970538,7200,143,X-n106-k14,10.393428087234497
12,35552.58684590948,341.1782410154454,0.9065490126715043,7650,152,X-n106-k14,11.76350736618042
13,36144.39577815531,1196.7081531436295,0.8979447273256641,4400,87,X-n106-k14,6.891754865646362
14,35813.84580221978,374.15375599691055,0.9181373153975892,4000,79,X-n106-k14,5.774166584014893
15,36117.465533086644,636.3462201645293,0.909888168455792,3400,67,X-n106-k14,5.733998537063599
16,36005.48649681666,468.6881107489178,0.9048719879107271,5550,110,X-n106-k14,8.52126431465149
17,35129.338700293614,676.2587101407909,0.6474993378121313,9800,195,X-n106-k14,13.505987405776978
18,35457.111016033334,690.3856523862543,0.6153846153846154,10000,199,X-n106-k14,12.888640880584717
19,35737.34451157333,939.1489098539722,0.9196938874358228,2750,54,X-n106-k14,4.457540512084961
20,34997.638972195855,710.525365006749,0.6021505376344086,6500,129,X-n106-k14,8.330273866653442
21,35704.45561597843,817.4367978677176,0.9065645406785485,2950,58,X-n106-k14,4.371639966964722
22,34806.57734756998,590.519504949877,0.8746117563873727,3300,65,X-n106-k14,5.6106977462768555
23,36221.758982997046,859.9669701464087,0.8721505376344086,3600,71,X-n106-k14,5.654403209686279
24,35599.57688353728,276.2081956747107,0.8980385774120311,10000,199,X-n106-k14,10.610820055007935
25,35817.36823637178,426.1070183299274,0.9098573251541288,3000,59,X-n106-k14,4.578960418701172
26,35114.07221601301,686.3826300751183,0.8998407009159696,10000,199,X-n106-k14,13.387720108032227
27,37528.9059793957,890.9903266238257,0.9181669167970538,600,11,X-n106-k14,1.011949062347412
28,34281.45694281835,523.275326807603,0.8577481357068116,10000,199,X-n106-k14,11.247729778289795
29,35635.46225977991,436.65944436680303,0.9082107221376626,6500,129,X-n106-k14,6.434108018875122
30,34978.77976365979,948.5283368428629,0.9081490277093973,7500,149,X-n106-k14,11.328115463256836
31,33877.80764226663,576.0302713089332,0.774630052426856,8300,165,X-n106-k14,8.810408353805542
32,36162.79909806295,361.86539561167507,0.9047177322727519,2450,48,X-n106-k14,3.4155757427215576
33,35624.09825122587,292.5750262643029,0.9081190198749405,10000,199,X-n106-k14,10.591083526611328
34,34376.81041519918,476.44937230321244,0.8289003451497621,7250,144,X-n106-k14,9.822956562042236
