run,fitness,n_evaluations,experiment_id,tiempo
0,34065.88614291801,10000,X-n106-k14,4.047540903091431
1,34308.316603964566,10000,X-n106-k14,3.9130589962005615
2,34260.96954709628,10000,X-n106-k14,3.890857696533203
3,34136.97190421316,10000,X-n106-k14,3.8303165435791016
4,34357.846123886855,10000,X-n106-k14,3.901430606842041
5,34198.29065125236,10000,X-n106-k14,3.8789944648742676
6,34148.25784210087,10000,X-n106-k14,3.782097339630127
7,34262.69790206682,10000,X-n106-k14,3.7643747329711914
8,34305.80876252194,10000,X-n106-k14,4.241866827011108
9,34163.9014005553,10000,X-n106-k14,4.068824768066406
10,34224.47396211482,10000,X-n106-k14,6.297499895095825
11,34182.82306088526,10000,X-n106-k14,4.277415037155151
12,34236.3155423779,10000,X-n106-k14,4.256566286087036
13,34196.868093840596,10000,X-n106-k14,4.31459379196167
14,34392.40331346421,10000,X-n106-k14,4.1939027309417725
15,33972.67752595004,10000,X-n106-k14,4.2481420040130615
16,34263.078991578426,10000,X-n106-k14,4.289633274078369
17,34285.32245954269,10000,X-n106-k14,4.223740816116333
18,34121.76752656472,10000,X-n106-k14,4.198239088058472
19,34236.90138432625,10000,X-n106-k14,4.102485179901123
20,34305.80531912529,10000,X-n106-k14,4.198078632354736
21,34281.10675326201,10000,X-n106-k14,4.282095193862915
22,34401.76548914387,10000,X-n106-k14,4.232203245162964
23,34305.630758254534,10000,X-n106-k14,4.116936683654785
24,34197.57610698337,10000,X-n106-k14,4.1523518562316895
25,34181.02884643158,10000,X-n106-k14,4.427048206329346
26,34117.15040460007,10000,X-n106-k14,4.26307225227356
27,34113.94825693133,10000,X-n106-k14,4.12934684753418
28,34227.65722145726,10000,X-n106-k14,4.182255744934082
29,34210.37164694459,10000,X-n106-k14,4.175019264221191
30,34314.14187478668,10000,X-n106-k14,4.184596538543701
31,34257.90855507216,10000,X-n106-k14,4.183020114898682
32,34245.92695923154,10000,X-n106-k14,4.155674695968628
33,34324.04371568343,10000,X-n106-k14,4.172879219055176
34,34463.96713435194,10000,X-n106-k14,4.174294948577881
