run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,35438.485791393156,251.8904694921991,0.9132269026827277,7050,140,X-n106-k14,8.399215698242188
1,36551.37257126903,892.0137565520566,0.9064247648679858,6250,124,X-n106-k14,6.986293077468872
2,35443.11637081719,612.3227440127018,0.9148281825701181,6300,125,X-n106-k14,8.061609983444214
3,40624.283231529655,6390.257909055439,0.8989797226098596,10000,199,X-n106-k14,11.560889482498169
4,36743.49399499297,991.972301146467,0.9115498779219505,7050,140,X-n106-k14,7.645142555236816
5,35661.53698341432,716.1424731788337,0.9099185902001032,6800,135,X-n106-k14,7.487728834152222
6,36808.383878835324,872.1567791599376,0.908241565439326,10000,199,X-n106-k14,11.192839622497559
7,36100.093619230895,59.08854425884546,0.9278846153846154,8750,174,X-n106-k14,10.873648405075073
8,35988.350078293755,298.3699640670775,0.9197539105795985,3300,65,X-n106-k14,3.8322689533233643
9,37839.28252782483,2382.3603869017943,0.9113977309581004,9450,188,X-n106-k14,11.590193510055542
10,40218.917852826584,6222.598536881924,0.8942476363350403,10000,199,X-n106-k14,12.68999695777893
11,35208.1992896517,457.11941796253683,0.8145983571394266,10000,199,X-n106-k14,10.632346153259277
12,35556.073717916996,294.4935043597025,0.9115039281705949,10000,199,X-n106-k14,12.285362005233765
13,38425.934842631315,4675.321159822001,0.8945878398160435,10000,199,X-n106-k14,11.184731721878052
14,35634.42057247179,352.7944450360617,0.9148886121488861,10000,199,X-n106-k14,11.607864618301392
15,34980.24654026778,776.5504882302221,0.9147526314192982,8400,167,X-n106-k14,10.07290267944336
16,34592.48262057103,542.8647786204373,0.7854636873604622,10000,199,X-n106-k14,9.452389001846313
17,35997.24485405165,731.3679869954426,0.9115039281705949,5050,100,X-n106-k14,5.6464643478393555
18,38245.54667907245,2088.1232254228053,0.9115802996662618,6000,119,X-n106-k14,6.375847101211548
19,33571.92571047245,127.09308150975374,0.6114241602811751,10000,199,X-n106-k14,9.720807552337646
20,38630.48586732883,3358.203186978566,0.9132269026827277,10000,199,X-n106-k14,10.826833724975586
21,40635.61724529673,4563.651721270891,0.8598203804116777,10000,199,X-n106-k14,11.20102334022522
22,36137.56011447243,619.9759747223749,0.84121383203952,10000,199,X-n106-k14,9.73777961730957
23,40788.90246130519,5628.574858460204,0.9101512139124885,4950,98,X-n106-k14,5.7881317138671875
24,36597.96590246174,645.9004872401935,0.9197839184140554,5850,116,X-n106-k14,6.270556211471558
25,35591.99662496415,262.66141737028886,0.8981324034712381,6950,138,X-n106-k14,7.287282466888428
26,39349.300019745475,7141.406905164485,0.6745092086622142,10000,199,X-n106-k14,9.672040462493896
27,37080.72811303841,2343.836289073498,0.8909089021081047,9150,182,X-n106-k14,7.995255947113037
28,36968.44771712575,1419.2247260548731,0.9049028312123902,3600,71,X-n106-k14,3.6860663890838623
29,42401.440562673626,5874.222437263629,0.9098573251541288,10000,199,X-n106-k14,7.425363302230835
30,34892.336679253094,580.8994751082041,0.8255986967782022,10000,199,X-n106-k14,8.376944541931152
31,35217.9847653988,684.2176151138738,0.837946197501798,10000,199,X-n106-k14,7.751985311508179
32,38235.17081397064,3662.054975524779,0.8801327816145545,9050,180,X-n106-k14,8.36737585067749
33,35089.77093432117,1438.627234516112,0.7718334201450858,10000,199,X-n106-k14,8.839927196502686
34,36069.0255567527,871.5393918878422,0.9197398147579362,10000,199,X-n106-k14,7.497593879699707
