run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,29420.96123216835,134.48313382460861,0.6640254696442472,31600,614,X-n106-k14,10.543983459472656
1,29481.73223633501,126.66436085852902,0.7093600548263761,31900,620,X-n106-k14,12.443392753601074
2,29590.577240516228,206.70611096440456,0.6079632865827246,48950,961,X-n106-k14,15.941543102264404
3,29522.894001557786,111.16324908112361,0.7039627039627039,31450,611,X-n106-k14,14.190489530563354
4,29591.48816698007,358.74820366257876,0.6905681597828194,30450,591,X-n106-k14,10.64607548713684
5,29514.562066010272,344.5813724030464,0.652422260324718,36650,715,X-n106-k14,12.772409439086914
6,29507.77004686346,248.41541727793012,0.6519108738933368,51100,1004,X-n106-k14,20.92438268661499
7,29727.079712889154,146.9222414127136,0.70695693341159,44300,868,X-n106-k14,16.16494131088257
8,29458.085631361988,134.84943945086496,0.6826478412113772,38300,748,X-n106-k14,14.585365295410156
9,29249.60890697331,197.3469466696524,0.6797572688681486,36050,703,X-n106-k14,14.85635256767273
10,29569.853102603138,329.97609971918087,0.6866942909760589,27850,539,X-n106-k14,10.44103717803955
11,29989.620202765203,377.21214210435886,0.6896624826314014,40550,793,X-n106-k14,16.045868158340454
12,29688.417234552162,49.46659845478186,0.6775886538932298,32100,624,X-n106-k14,11.196722984313965
13,29972.25980257051,75.73499835880472,0.6677510495077498,25600,494,X-n106-k14,9.628036737442017
14,29734.28439574917,509.1021324005613,0.6546513312378507,39500,772,X-n106-k14,16.3599054813385
15,30025.896476562626,523.551162173114,0.7313967980059438,39150,765,X-n106-k14,14.59031867980957
16,30449.520195599933,274.2611846321659,0.695552189588116,32900,640,X-n106-k14,10.939531564712524
17,29549.12818847684,242.76640664612992,0.7061929926774114,43700,856,X-n106-k14,18.302127599716187
18,29617.160629344162,418.81650788484603,0.6720294943373348,30750,597,X-n106-k14,13.35316777229309
19,30653.046413916018,715.5285767830853,0.6860464650724549,31500,612,X-n106-k14,12.198116779327393
20,29503.76095691654,129.12061721422776,0.6915805597612913,29200,566,X-n106-k14,11.986759424209595
21,29254.691316736167,90.00287965225476,0.6744504852804961,36200,706,X-n106-k14,16.363988637924194
22,29531.220289495697,187.65111895110232,0.7084446148275937,30800,598,X-n106-k14,11.612070560455322
23,29730.44979821811,439.2444225381621,0.660117582425423,32150,625,X-n106-k14,14.390845537185669
24,29730.277793800506,124.52011461782399,0.6967582402973213,35250,687,X-n106-k14,16.064714908599854
25,29810.435779986325,382.6297164787618,0.6844134177274438,41750,817,X-n106-k14,14.478888034820557
26,29496.408400836983,226.60354337887807,0.6895808513786043,35600,694,X-n106-k14,17.810539484024048
27,29577.319436692876,443.9266444150572,0.6962877789141585,32200,626,X-n106-k14,13.717443227767944
28,29568.149933587672,368.7833290516807,0.7064198463216697,34400,670,X-n106-k14,13.536282539367676
29,29589.014152143227,221.21935227942288,0.6677337357026545,34850,679,X-n106-k14,13.683355569839478
30,29651.762103476853,271.0847725712856,0.6572782084409992,31600,614,X-n106-k14,12.741593837738037
31,29838.234718113774,335.61946890043527,0.6514163372859024,36700,716,X-n106-k14,14.232140064239502
32,29602.62465044798,550.9224378235617,0.6545536896278715,33950,661,X-n106-k14,11.647045850753784
33,29707.67521147645,154.94207604601715,0.6724104432301153,38450,751,X-n106-k14,11.593094110488892
34,30189.27521582282,588.4566506200463,0.6896322131192033,38550,753,X-n106-k14,10.395288705825806
