run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,79936.68412179296,1079.3732736862385,0.823759169747043,3100,61,X-n125-k30,2.8619496822357178
1,79223.6426035977,1490.648045497116,0.8402027005376723,3900,77,X-n125-k30,3.0519585609436035
2,80973.91120719379,1710.510940270475,0.8296234821084271,600,11,X-n125-k30,0.4572281837463379
3,79286.36588029361,630.1473782956799,0.8307481945560092,6250,124,X-n125-k30,4.873641490936279
4,80455.3427190432,1302.295736346853,0.8445005926757752,4750,94,X-n125-k30,4.111731052398682
5,79368.52251960059,1125.489605150644,0.8283240577951235,4550,90,X-n125-k30,3.2765352725982666
6,78389.10855949105,441.4171217097619,0.8455466236237669,6150,122,X-n125-k30,4.809504508972168
7,79634.08954275132,1379.2811618622882,0.847588859669807,3950,78,X-n125-k30,3.4038374423980713
8,79192.94455965278,690.4919786982709,0.8359968358047892,6700,133,X-n125-k30,5.583184480667114
9,79966.70682677253,380.4619999817028,0.839632987356065,6250,124,X-n125-k30,3.799312114715576
10,78601.42259037141,710.4895372617259,0.8479624452810185,4300,85,X-n125-k30,3.3497774600982666
11,79906.51713939242,505.3349307305956,0.8550959329524366,10000,199,X-n125-k30,6.603136777877808
12,78684.70211303579,547.372042923492,0.8269400421687733,5200,103,X-n125-k30,4.1300435066223145
13,79454.68318778802,286.3115501859347,0.8445951988301527,6000,119,X-n125-k30,4.85747218132019
14,78917.8933674968,898.2554625970787,0.8293555815647647,5700,113,X-n125-k30,4.4847729206085205
15,80466.65300758877,674.4609866590837,0.8248332706793088,4200,83,X-n125-k30,2.7957873344421387
16,77682.50898027352,332.03347220638074,0.8311119198168281,6400,127,X-n125-k30,5.100611925125122
17,79083.55054250627,879.3544323703279,0.8348440797028713,5950,118,X-n125-k30,5.431478500366211
18,78077.874508589,1209.1817833324726,0.8293535545063241,6250,124,X-n125-k30,5.113004446029663
19,78150.62309488111,510.68997726015067,0.8257586778909186,7950,158,X-n125-k30,5.461771488189697
20,82390.98901850857,267.52463083209125,0.8444586148572256,600,11,X-n125-k30,0.47068309783935547
21,77482.27959499504,1575.226733341392,0.8257865272260156,6550,130,X-n125-k30,4.129092216491699
22,78173.50054682247,1126.2233231802547,0.8299605357385825,5450,108,X-n125-k30,4.375447750091553
23,79013.329091702,1596.2828425591101,0.8367559357411757,6250,124,X-n125-k30,4.363639831542969
24,78238.36497380212,328.1182701823912,0.83274485587302,4600,91,X-n125-k30,3.617525339126587
25,79769.1287998456,448.13800362058583,0.8539128144663645,4200,83,X-n125-k30,2.8933498859405518
26,78388.55082353471,712.8964636562918,0.8384459588277386,5300,105,X-n125-k30,3.926222085952759
27,79027.46100898153,604.0182429048135,0.8351583319517252,5500,109,X-n125-k30,3.9474120140075684
28,78312.10141422217,688.2856515837925,0.8400473438696651,4200,83,X-n125-k30,3.1598923206329346
29,79802.33843644761,508.6725813737525,0.8433060494593981,3600,71,X-n125-k30,2.903461217880249
30,79374.78452008555,449.79233970693895,0.8482326159001663,6350,126,X-n125-k30,3.2988741397857666
31,78921.65511448837,544.8708396664547,0.8397782967554925,4750,94,X-n125-k30,3.396650552749634
32,78793.58745035551,1310.473326807123,0.8526038291892736,6000,119,X-n125-k30,3.5670063495635986
33,80929.19008528731,759.3779521832424,0.8331268071045024,600,11,X-n125-k30,0.3307156562805176
34,76921.4385618026,1004.9152045573775,0.5919079125431778,5700,113,X-n125-k30,3.1350433826446533
