run,mean_fitness,std_fitness,mean_jaccard_distance,n_evaluations,n_generations,experiment_id,tiempo
0,33942.82397332353,811.8860772158085,0.5731896368767877,27550,548,X-n106-k14,38.12940216064453
1,35727.99876796049,452.92763678548584,0.7216001627824239,23450,466,X-n106-k14,32.79204607009888
2,34963.79680775478,1016.0356879661949,0.6152789152789153,28600,569,X-n106-k14,39.587799072265625
3,35660.76256888717,397.23864610888955,0.7650477651955329,24150,480,X-n106-k14,36.76394271850586
4,34566.15429518772,2.1815914372449066,0.04336043360433606,18150,360,X-n106-k14,26.488394737243652
5,36989.95902679571,1031.0011872402386,0.839204175877844,24050,478,X-n106-k14,33.54015040397644
6,34639.94944122661,387.3677138992297,0.7875087760642973,24450,486,X-n106-k14,31.35540008544922
7,34422.22972164117,679.7636991369518,0.6901700881047638,26250,522,X-n106-k14,28.77920627593994
8,34715.685350537795,637.7948110425903,0.3697089947089947,27700,551,X-n106-k14,36.977638721466064
9,35126.86661859847,287.51988182357826,0.8427089847821555,11200,221,X-n106-k14,16.58477759361267
10,33991.4109680163,525.6221388259322,0.7155351251434278,19100,379,X-n106-k14,21.48076605796814
11,33071.27042629171,6.686713801624108,0.032786885245901676,23650,470,X-n106-k14,34.63401556015015
12,34532.07421093369,721.5630115593508,0.8125270279384577,25850,514,X-n106-k14,37.28342652320862
13,37319.157737107605,903.6096581333735,0.8524270903259491,11650,230,X-n106-k14,15.700168132781982
14,33754.65690658296,49.22847090446502,0.1128205128205128,22050,438,X-n106-k14,31.613155126571655
15,34684.07751501166,246.07727731797306,0.8033909038572252,28650,570,X-n106-k14,31.763251543045044
16,34600.45141148767,374.08866917534465,0.6710290110687213,30000,597,X-n106-k14,39.248443841934204
17,37279.891864151294,113.0424020981422,0.8552997492591748,15100,299,X-n106-k14,21.345446825027466
18,37350.988696450455,469.93686303849165,0.8171611721611721,20600,409,X-n106-k14,26.796499967575073
19,35677.05953696572,287.1067789572613,0.8049145299145298,26400,525,X-n106-k14,35.042240381240845
20,33348.6892821382,351.01220188631794,0.3837955531448946,30000,597,X-n106-k14,37.16012716293335
21,33802.113171867466,80.48987195984472,0.08535518426050404,29500,587,X-n106-k14,29.629724740982056
22,34910.52274919196,735.6173746707317,0.7534884540179613,28900,575,X-n106-k14,34.70684504508972
23,34429.127032374505,557.347307742148,0.5376485788113695,29450,586,X-n106-k14,34.47245955467224
24,34655.56448460762,365.78738066974836,0.5281072483526471,30000,597,X-n106-k14,29.598738193511963
25,37109.432566971394,612.4793548449607,0.8843038792652055,14000,277,X-n106-k14,16.392229795455933
26,32436.802872362285,299.10391073150026,0.5561147762739275,29700,591,X-n106-k14,35.37604308128357
27,34613.778600323356,216.89468640628343,0.23908045977011497,24950,496,X-n106-k14,27.621416568756104
28,35741.58955929183,437.76850501107504,0.7211299839586647,23750,472,X-n106-k14,28.964582443237305
29,33627.86438140797,262.6774839042393,0.7603269880026526,27150,540,X-n106-k14,30.63399839401245
30,35931.36243830152,846.2752676410295,0.828286142504152,30000,597,X-n106-k14,33.626002073287964
31,34867.386534902435,553.711597476672,0.6500556899935784,20400,405,X-n106-k14,21.714189291000366
32,33577.813244833626,32.320610654415496,0.07511069646215592,20950,416,X-n106-k14,27.370217323303223
33,33377.24251551022,127.77360071827839,0.48940645931156795,22600,449,X-n106-k14,27.189595699310303
34,32906.440422772095,217.07832033637422,0.4678677709231985,24100,479,X-n106-k14,26.842170000076294
